"TOTALWEIGHT";"BREAKCLASS";"VMAX";"TFZ";"NUM_TFZ";"T10km";"X";"T10kmRound";"COVERAGE";"BrH";"STA";"GAIN";"NAME";"LZB";"ELECTRIC"
1200;"P";80;"1144-1";1;579,390076682316;5118;580;1;48;"191";16782,954828893;"G1";FALSE;1
2600;"P";60;"285-2";1;1032,98345043618;NA;1033;0,9189;50;"191";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,86;54;"193A";20601,9332210872;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,906;60;"193A";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,807692307692308;56;"193B";20122,8184950154;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9135;60;"193B";0;"S90";FALSE;1
1600;"P";90;"185CL1-1";1;542,307877597172;3196;543;0,980392156862745;55;"195";24533,7786419504;"G8";FALSE;1
2600;"P";60;"285-2";1;1032,98345043618;NA;1033;0,9216;61;"195";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,826086956521739;54;"195A";38032,5968362234;"G2";FALSE;1
2600;"P";60;"285-2";1;1032,98345043618;NA;1033;0,9239;54;"195A";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,759259259259259;54;"197B";20501,7509375253;"G2";FALSE;1
1700;"G";60;"G1700-2";1;1032,5972504897;NA;1033;0,9259;53;"197B";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,836734693877551;65;"201";9821,85188447182;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,906;60;"201";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,798165137614679;63;"203";21729,2808392769;"G2";FALSE;1
1000;"G";70;"203-1";1;782,31639342372;NA;783;0,9266;55;"203";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,58695652173913;65;"207A";6468,04880196925;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,913;54;"207A";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,547619047619048;66;"209";7915,61140127341;"G1";FALSE;1
1300;"G";60;"203-1";1;923,547094128986;NA;924;0,9048;47;"209";0;"S90";FALSE;1
1100;"P";80;"180-1";1;586,388768992919;5012;587;0,559322033898305;65;"21";12212,6690590758;"G6";FALSE;1
2400;"G";60;"285-2";1;956,469649570973;NA;957;0,9153;50;"21";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,802816901408451;55;"215A";27309,5393860924;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9085;60;"215A";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,788617886178862;55;"215B";23237,0642144821;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9024;58;"215B";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,947368421052632;58;"221";10371,4716230234;"G2";FALSE;1
1200;"G";80;"1144-1";1;603,787398110887;5117;604;1;61;"221";2060,40211333574;"G7";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9388;61;"221";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,802325581395349;61;"223";24676,9497237452;"G2";FALSE;1
2500;"P";80;"145-2";1;707,123438359149;6362;708;0,941860465116279;53;"223";457,86713629683;"G3";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9388;61;"223";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,869565217391304;54;"225";7152,73905036094;"G2";FALSE;1
2000;"G";70;"151-1";1;671,011261966804;8541;672;1;54;"225";686,800704445245;"G9";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9388;61;"225";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,898550724637681;60;"251";29705,1130164514;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9058;66;"251";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;1;61;"253";8507,29139757627;"G2";FALSE;1
2600;"P";60;"285-2";1;1032,98345043618;NA;1033;0,9412;67;"253";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;1;75;"287";239,557363035898;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9093;55;"287";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,76;65;"289";4551,58989768206;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9041;61;"289";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,76;64;"291";2145,82171510828;"G5";FALSE;1
2600;"G";70;"145-2";1;764,978717363646;8935;765;0,96;64;"291";2060,40211333574;"G4";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,96;64;"291";0;"S90";FALSE;1
1100;"P";80;"180-1";1;586,388768992919;5012;587;0,565789473684211;40;"293";28549,8622186554;"G6";FALSE;1
3100;"G";60;"264-1";1;918,363911070307;NA;919;0,9013;40;"293";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,7;69;"295";1676,90154125129;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9093;55;"295";0;"S90";FALSE;1
1600;"P";90;"185CL1-1";1;542,307877597172;3196;543;0,695652173913043;54;"297";7353,728964324;"G8";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9093;55;"297";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,642857142857143;60;"299";1734,49647944983;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9093;55;"299";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,754901960784314;55;"303";10883,8006716877;"G5";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9412;54;"303";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,9;40;"305";12247,0210913543;"G1";FALSE;1
2600;"P";60;"285-2";1;1032,98345043618;NA;1033;0,9;55;"305";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,931034482758621;56;"31";5203,48943834949;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9023;50;"31";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,684931506849315;44;"319";16948,6917193996;"G1";FALSE;1
3100;"G";60;"264-1";1;918,363911070307;NA;919;0,9178;44;"319";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,7;56;"329";4047,1584520496;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9023;50;"329";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,588235294117647;60;"33";12284,1588108857;"G1";FALSE;1
2600;"G";70;"145-2";1;764,978717363646;8935;765;0,858823529411765;56;"33";4884,50348790243;"G4";FALSE;1
1800;"G";50;"180-1";1;903,606666152634;NA;904;0,9059;37;"33";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,585365853658537;65;"35";4625,32394519954;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9512;56;"35";0;"S90";FALSE;1
2500;"P";80;"145-2";1;707,123438359149;6362;708;0,683823529411765;28;"37";43190,6072370312;"G3";FALSE;1
2200;"G";60;"180-1";1;1171,53856994013;NA;1172;0,9044;54;"37";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,650793650793651;60;"39A";7901,59507304922;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9023;50;"39A";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,491525423728814;65;"39B";6947,16352804104;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9153;60;"39B";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,615384615384615;52;"41";5364,5542877707;"G1";FALSE;1
2500;"P";80;"145-2";1;707,123438359149;6362;708;0,861538461538462;54;"41";6868,00704445245;"G3";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9077;53;"41";0;"S90";FALSE;1
1600;"P";90;"185CL1-1";1;542,307877597172;3196;543;0,41025641025641;63;"43";14821,8444290864;"G8";FALSE;1
2600;"G";70;"145-2";1;764,978717363646;8935;765;0,692307692307692;54;"43";4785,9713546896;"G4";FALSE;1
1700;"G";50;"1293-2";1;1468,67315441507;NA;1469;0,9487;51;"43";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,454545454545455;67;"47";963,609155249905;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9023;50;"47";0;"S90";FALSE;1
1100;"P";80;"180-1";1;586,388768992919;5012;587;0,69047619047619;56;"5";11512,8515612626;"G6";FALSE;1
2500;"G";60;"285-2";1;983,383650415768;NA;984;0,9048;50;"5";0;"S90";FALSE;1
1100;"P";80;"180-1";1;586,388768992919;5012;587;0,48780487804878;56;"53";11481,4434012595;"G6";FALSE;1
2600;"G";70;"145-2";1;764,978717363646;8935;765;0,75609756097561;56;"53";5944,73154160838;"G4";FALSE;1
2500;"G";50;"285-2";1;1020,70135264965;NA;1021;0,9024;50;"53";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,689655172413793;60;"55A";2826,96121342538;"G5";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9036;58;"55A";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,509803921568627;56;"55B";9168,11488722324;"G5";FALSE;1
2500;"G";60;"285-2";1;983,383650415768;NA;984;0,902;49;"55B";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,525423728813559;40;"57A";27945,5858148587;"G1";FALSE;1
3000;"G";60;"185-2";1;879,88024673456;NA;880;0,904;40;"57A";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,626865671641791;40;"57B";16188,6338081984;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9104;56;"57B";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,5;54;"61";7510,37600287899;"G2";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,921052631578947;53;"61";1831,46854518732;"G5";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9211;54;"61";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,696969696969697;58;"63B";11019,6386996513;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9242;54;"63B";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,68;53;"65";6552,54225569935;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,92;53;"65";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,918367346938776;54;"67";12159,6563856136;"G2";FALSE;1
2600;"G";70;"145-2";1;764,978717363646;8935;765;0,979591836734694;64;"67";2518,26924963257;"G4";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9796;54;"67";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,954545454545455;54;"71";10061,4092475077;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9318;63;"71";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,657894736842105;56;"73";5006,91733525266;"G1";FALSE;1
2000;"G";70;"151-1";1;671,011261966804;8541;672;0,789473684210526;65;"73";3662,93709037464;"G9";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9211;65;"73";0;"S90";FALSE;1
1100;"P";80;"180-1";1;586,388768992919;5012;587;0,571428571428571;56;"741";6378,09101597395;"G6";FALSE;1
2900;"G";60;"185CL1-1";1;852,142561325167;NA;853;0,9038;55;"741";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,735849056603774;56;"75";9656,19771798727;"G1";FALSE;1
2000;"G";70;"151-1";1;671,011261966804;8541;672;0,830188679245283;65;"75";3891,87065852306;"G9";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9245;61;"75";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;1;65;"777";718,672089107694;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9012;56;"777";0;"S90";FALSE;1
1100;"P";80;"180-1";1;586,388768992919;5012;587;0,653225806451613;56;"77A";15043,5742378896;"G6";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9274;56;"77A";0;"S90";FALSE;1
1100;"P";80;"180-1";1;586,388768992919;5012;587;0,6;56;"77B";9471,88007570828;"G6";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9059;56;"77B";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,637037037037037;58;"79";31133,29239785;"G2";FALSE;1
2000;"G";80;"180-1";1;894,569572578376;NA;895;0,9096;56;"79";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,626168224299065;58;"81A";16734,0438647305;"G2";FALSE;1
1000;"G";70;"203-1";1;782,31639342372;NA;783;0,9159;61;"81A";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,555555555555556;60;"81B";2890,82746574971;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9036;55;"81B";0;"S90";FALSE;1
1100;"P";80;"180-1";1;586,388768992919;5012;587;0,607142857142857;56;"87";6314,58671713885;"G6";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9036;55;"87";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,759124087591241;60;"89";24913,9657557334;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9036;58;"89";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,818181818181818;60;"91";19404,1464059077;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9091;66;"91";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,72;65;"93";4312,03253464616;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,903;60;"93";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,921875;60;"95";28267,768838236;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9453;65;"95";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,708029197080292;55;"97";46474,1284289642;"G2";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,903;60;"97";0;"S90";FALSE;1
1200;"P";80;"1144-1";1;579,390076682316;5118;580;0,666666666666667;42;"99";5396,21126939947;"G1";FALSE;1
2700;"G";70;"145-2";1;772,111907732297;NA;773;0,9286;42;"99";0;"S90";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,854838709677419;56;"9A";11733,0718559994;"G5";FALSE;1
2900;"G";60;"185CL1-1";1;852,142561325167;NA;853;0,9038;55;"9A";0;"S90";FALSE;1
1600;"P";90;"152-3";1;532,554544696399;3180;533;0,571428571428571;60;"9B";15020,752005758;"G2";FALSE;1
2000;"G";80;"6186-1";1;630,763847061028;6065;631;0,871428571428571;56;"9B";2976,1363859294;"G5";FALSE;1
2900;"G";50;"185CL1-1";1;899,944830115219;NA;900;0,9;60;"9B";0;"S90";FALSE;1
