"";"G9";"s90"
"0:00";0;0
"1:00";0;0
"2:00";0;0
"3:00";0;0
"4:00";0;1
"5:00";1;0
"6:00";1;0
"7:00";0;0
"8:00";0;0
"9:00";0;0
"10:00";0;0
"11:00";0;0
"12:00";0;0
"13:00";1;0
"14:00";0;0
"15:00";1;1
"16:00";0;0
"17:00";0;1
"18:00";2;0
"19:00";0;0
"20:00";0;0
"21:00";0;0
"22:00";0;0
"23:00";0;0
"24:00";0;0
"25:00";0;2
"26:00";0;0
"27:00";0;1
"28:00";0;0
"29:00";0;0
"30:00";0;0
"31:00";1;0
"32:00";0;0
"33:00";0;0
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
